Sat Oct 21 11:58:17 2017, Mostly Cloudy
Sat Oct 21 12:58:21 2017, Partly Cloudy
Sat Oct 21 13:58:25 2017, Mostly Cloudy
Sat Oct 21 14:58:29 2017, Partly Cloudy
Sat Oct 21 15:58:33 2017, Partly Cloudy
Sat Oct 21 16:58:37 2017, Partly Cloudy
Sat Oct 21 17:58:41 2017, Partly Cloudy
Sat Oct 21 18:58:45 2017, Mostly Cloudy
Sat Oct 21 19:58:49 2017, Clear
Sat Oct 21 20:58:53 2017, Clear
Sat Oct 21 21:58:57 2017, Clear
Sat Oct 21 22:59:01 2017, Clear
Sat Oct 21 23:59:05 2017, Partly Cloudy
Sun Oct 22 00:59:09 2017, Partly Cloudy
Sun Oct 22 01:59:13 2017, Partly Cloudy
Sun Oct 22 02:59:17 2017, Partly Cloudy
Sun Oct 22 03:59:21 2017, Partly Cloudy
Sun Oct 22 04:59:25 2017, Partly Cloudy
Sun Oct 22 05:59:29 2017, Partly Cloudy
Sun Oct 22 06:59:33 2017, Partly Cloudy
Sun Oct 22 07:59:37 2017, Mostly Cloudy
Sun Oct 22 08:59:41 2017, Thunderstorm
Sun Oct 22 09:59:45 2017, Rain
Sun Oct 22 10:59:49 2017, Rain
Sun Oct 22 11:59:53 2017, Rain
Sun Oct 22 12:59:57 2017, Overcast
Sun Oct 22 14:00:01 2017, Overcast
Sun Oct 22 15:00:05 2017, Mostly Cloudy
Sun Oct 22 16:00:10 2017, Partly Cloudy
Sun Oct 22 17:00:14 2017, Partly Cloudy
Sun Oct 22 18:00:18 2017, Clear
Sun Oct 22 19:00:22 2017, Clear
Sun Oct 22 20:00:26 2017, Clear
Sun Oct 22 21:00:30 2017, Clear
Sun Oct 22 22:00:34 2017, Clear
Sun Oct 22 23:00:38 2017, Clear
Mon Oct 23 00:00:42 2017, Clear
Mon Oct 23 01:00:46 2017, Clear
Mon Oct 23 02:00:50 2017, Clear
Mon Oct 23 03:00:54 2017, Clear
Mon Oct 23 04:00:58 2017, Clear
Mon Oct 23 05:01:03 2017, Clear
Mon Oct 23 06:01:07 2017, Clear
Mon Oct 23 07:01:11 2017, Clear
Mon Oct 23 08:01:15 2017, Clear
Mon Oct 23 09:01:19 2017, Clear
Mon Oct 23 10:01:23 2017, Clear
Mon Oct 23 11:01:27 2017, Clear
Mon Oct 23 12:01:31 2017, Clear
Mon Oct 23 13:01:35 2017, Clear
Mon Oct 23 14:01:39 2017, Clear
Mon Oct 23 15:01:43 2017, Clear
Mon Oct 23 16:01:47 2017, Clear
Mon Oct 23 17:01:51 2017, Clear
Mon Oct 23 18:01:55 2017, Clear
Mon Oct 23 19:01:59 2017, Clear
Mon Oct 23 20:02:04 2017, Clear
Mon Oct 23 21:02:08 2017, Clear
Mon Oct 23 22:02:12 2017, Clear
Mon Oct 23 23:02:16 2017, Clear
Tue Oct 24 00:02:20 2017, Clear
Tue Oct 24 01:02:24 2017, Clear
Tue Oct 24 02:02:28 2017, Clear
Tue Oct 24 03:02:32 2017, Clear
Tue Oct 24 04:02:36 2017, Clear
Tue Oct 24 05:02:40 2017, Clear
Tue Oct 24 06:02:44 2017, Clear
Tue Oct 24 07:02:48 2017, Clear
Tue Oct 24 08:02:52 2017, Clear
Tue Oct 24 09:02:56 2017, Clear
Tue Oct 24 10:03:00 2017, Clear
Tue Oct 24 11:03:04 2017, Clear
Tue Oct 24 12:03:08 2017, Clear
Tue Oct 24 13:03:12 2017, Clear
Tue Oct 24 13:43:23 2017, Clear
Tue Oct 24 14:43:27 2017, Clear
Tue Oct 24 15:43:31 2017, Clear
Tue Oct 24 16:43:35 2017, Clear
Tue Oct 24 17:43:39 2017, Clear
Tue Oct 24 18:43:43 2017, Clear
Tue Oct 24 19:43:46 2017, Clear
Tue Oct 24 20:43:50 2017, Clear
Tue Oct 24 21:43:54 2017, Clear
Tue Oct 24 22:43:58 2017, Clear
Tue Oct 24 23:44:02 2017, Clear
Wed Oct 25 00:44:06 2017, Clear
Wed Oct 25 01:44:09 2017, Clear
Wed Oct 25 02:44:13 2017, Clear
Wed Oct 25 03:44:17 2017, Clear
Wed Oct 25 04:44:21 2017, Clear
Wed Oct 25 05:44:25 2017, Clear
Wed Oct 25 06:44:29 2017, Clear
Wed Oct 25 07:44:32 2017, Clear
Wed Oct 25 08:44:36 2017, Clear
Wed Oct 25 09:44:40 2017, Clear
Wed Oct 25 10:44:44 2017, Clear
Wed Oct 25 11:44:48 2017, Clear
Wed Oct 25 12:44:52 2017, Clear
Wed Oct 25 13:44:56 2017, Clear
Wed Oct 25 14:44:59 2017, Clear
Wed Oct 25 15:45:03 2017, Clear
Wed Oct 25 16:45:07 2017, Clear
Wed Oct 25 17:45:11 2017, Clear
Wed Oct 25 18:45:15 2017, Clear
Wed Oct 25 19:45:19 2017, Clear
Wed Oct 25 20:45:23 2017, Clear
Wed Oct 25 21:45:27 2017, Clear
Wed Oct 25 22:45:31 2017, Clear
Wed Oct 25 23:45:35 2017, Clear
Thu Oct 26 00:45:39 2017, Clear
Thu Oct 26 01:45:43 2017, Clear
Thu Oct 26 02:45:47 2017, Clear
Thu Oct 26 03:45:50 2017, Clear
Thu Oct 26 04:45:54 2017, Clear
Thu Oct 26 05:45:58 2017, Clear
Thu Oct 26 06:46:02 2017, Clear
Thu Oct 26 07:46:06 2017, Clear
Thu Oct 26 08:46:10 2017, Clear
Thu Oct 26 09:46:14 2017, Clear
Thu Oct 26 10:46:17 2017, Clear
Thu Oct 26 11:46:21 2017, Clear
Thu Oct 26 12:46:25 2017, Clear
Thu Oct 26 13:46:29 2017, Clear
Thu Oct 26 14:46:32 2017, Clear
Thu Oct 26 15:46:36 2017, Clear
Thu Oct 26 16:46:40 2017, Clear
Thu Oct 26 17:46:44 2017, Clear
Thu Oct 26 18:46:48 2017, Clear
Thu Oct 26 19:46:52 2017, Clear
Thu Oct 26 20:46:56 2017, Clear
Thu Oct 26 21:47:00 2017, Clear
Thu Oct 26 22:47:04 2017, Clear
Thu Oct 26 23:47:07 2017, Clear
Fri Oct 27 00:47:11 2017, Clear
Fri Oct 27 01:47:15 2017, Clear
Fri Oct 27 02:47:19 2017, Clear
Fri Oct 27 03:47:23 2017, Clear
Fri Oct 27 04:47:27 2017, Partly Cloudy
Fri Oct 27 05:47:30 2017, Overcast
Fri Oct 27 06:47:34 2017, Mostly Cloudy
Fri Oct 27 07:47:38 2017, Overcast
Fri Oct 27 08:47:42 2017, Overcast
Fri Oct 27 09:47:46 2017, Overcast
Fri Oct 27 10:47:50 2017, Overcast
Fri Oct 27 11:47:54 2017, Overcast
